Team Name,Captain Name,Captain Images
Chennai Super Kings,Ruturaj Gaikwad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/102.png
Delhi Capitals,Rishabh Pant,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/18.png
Gujarat Titans,Shubman Gill,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/62.png
Kolkata Knight Riders,Shreyas Iyer,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/12.png
Lucknow Super Giants,KL Rahul,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/19.png
Mumbai Indians,Hardik Pandya,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/54.png
Punjab Kings,Sam Curran,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/138.png
Rajasthan Royals,Sanju Samson,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/190.png
Royal Challengers Bengaluru,Faf du Plessis,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/94.png
Sunrisers Hyderabad,Pat Cummins,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2024/33.png
